Nom,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description courte,Description longue,Image principale,Durée,Prix,Service-catégorie,Type de service,Bookla-id,Service parent,Couleurs,Option,is-visible
Asap rocky,asap-rocky,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3227cfaa2c22bf0d702e,false,false,Tue Nov 04 2025 17:04:39 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:15 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/6892189f750bf17c33b8274f/6911bcac207240b80c6b6249_asap-rocky.webp,120,80,hommes,cornrows-h,88d6d81e-1177-468c-81ed-610adbf5c122,,,,true
Asap rocky + Coupe des pointes,asap-rocky---coupe-des-pointes,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3227346d882a857d2b5a,false,false,Tue Nov 04 2025 17:04:39 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),,,,140,90,,cornrows-h,e8e1cb42-3ebc-43fe-aad0-3dc6b26de296,asap-rocky,,Coupe des pointes (+10€),false
Asap rocky + Shampoing démêlant,asap-rocky---shampoing-demelant,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32271ef16c31443c1629,false,false,Tue Nov 04 2025 17:04:39 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:01 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:01 GMT+0000 (Coordinated Universal Time),,,,140,100,,cornrows-h,30e9c93c-0f2d-4637-a334-5936f2abd54f,asap-rocky,,Shampoing démêlant (+20€),false
Asap rocky + Shampoing et soin,asap-rocky---shampoing-et-soin,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a3227f85fabf95b51617c,false,false,Tue Nov 04 2025 17:04:39 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),,,,160,115,,cornrows-h,c3fa8ac8-8a69-447e-953f-755a51512372,asap-rocky,,Shampoing et soin (+35€),false
Barrel twist,barrel-twist,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32299d59ab540310dca2,false,false,Tue Nov 04 2025 17:04:41 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:15 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/6892189f750bf17c33b8274f/6911bc39a8043acecacb78e1_barrel-twist.webp,180,100,,twists,e09b1e6a-b172-4667-9c56-503bcfbfe32a,,,,true
Barrel twist + Coupe des pointes,barrel-twist---coupe-des-pointes,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32292b1127bf096acd45,false,false,Tue Nov 04 2025 17:04:41 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),,,,200,110,,twists,b2786bfb-2715-4bf6-a124-b4c960fa408e,barrel-twist,,Coupe des pointes (+10€),false
Barrel twist + Shampoing démêlant,barrel-twist---shampoing-demelant,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32292ef736ea1b1b4d56,false,false,Tue Nov 04 2025 17:04:41 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),,,,200,120,,twists,47ff6500-9002-4893-b3c0-9b3f60671710,barrel-twist,,Shampoing démêlant (+20€),false
Barrel twist + Shampoing et soin,barrel-twist---shampoing-et-soin,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a322957583a56ba2dd42e,false,false,Tue Nov 04 2025 17:04:41 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:00 GMT+0000 (Coordinated Universal Time),,,,220,135,,twists,bf7a60da-8158-492f-b1de-8915a575da53,barrel-twist,,Shampoing et soin (+35€),false
Boho braids,boho-braids,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a32234e7a8ebb5f194833,false,false,Tue Nov 04 2025 17:04:35 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:48 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:46:15 GMT+0000 (Coordinated Universal Time),,,https://cdn.prod.website-files.com/6892189f750bf17c33b8274f/6911bd8d165aa2d5097d5a6f_boho-braids.webp,300,300,,boho-braids,4a426f6d-6096-40b2-a276-13ecf75cdd4e,,blond; noir,,true
Boho braids + Coupe des pointes,boho-braids---coupe-des-pointes,68d69e61d9a881968fc7789b,6892189f750bf17c33b82716,690a322399beecd480dcaa5e,false,false,Tue Nov 04 2025 17:04:35 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:48 GMT+0000 (Coordinated Universal Time),Mon Nov 10 2025 10:45:48 GMT+0000 (Coordinated Universal Time),,,,320,310,,boho-braids,d7883db3-3424-4d65-a902-5b41239d94c9,boho-braids,blond; noir,Coupe des pointes (+10€),false
